sex,female,classyear,year,conc,hair,vegetarian,glasses,athlete,coffee,exercise,height,heartrate
female,1,junior,3,natural_sciences,black,0,1,0,0,1,59,60
male,0,freshman,1,economics,black,0,0,0,0,5,69,64
female,1,freshman,1,arts_humanities,brown,1,0,0,1,0,68,80
male,0,sophomore,2,social_sciences,brown,0,0,0,0,10,69,64
female,1,junior,3,natural_sciences,brown,0,1,0,0,4,64,66
female,1,junior,3,social_sciences,brown,0,1,1,1,22.5,66,78
male,0,freshman,1,natural_sciences,brown,0,0,0,0,7,71,68
male,0,freshman,1,economics,brown,0,0,0,0,0,68,80
male,0,sophomore,2,social_sciences,brown,0,1,0,0,5,69,58
female,1,senior,4,social_sciences,blonde,0,0,1,1,23,71,60
male,0,junior,3,social_sciences,brown,0,0,0,0,10,70,60
female,1,freshman,1,social_sciences,brown,0,1,0,1,0,71,76
female,1,sophomore,2,arts_humanities,brown,0,0,0,1,0,65,72
male,0,sophomore,2,social_sciences,brown,0,1,0,0,0,71,110
female,1,freshman,1,economics,black,1,1,0,0,2,62,64
female,1,sophomore,2,natural_sciences,black,0,1,0,0,0,62,78
female,1,senior,4,natural_sciences,brown,0,0,0,0,7,65,56
male,0,junior,3,social_sciences,brown,1,0,0,0,2,72,58
male,0,senior,4,natural_sciences,black,0,1,0,0,2,69,72
female,1,freshman,1,arts_humanities,brown,0,1,1,0,10,65,48
male,0,sophomore,2,economics,black,0,0,0,0,1,74,74
male,0,freshman,1,social_sciences,brown,0,0,0,0,5,71,68
female,1,sophomore,2,social_sciences,black,0,0,0,1,2,62,62
male,0,sophomore,2,natural_sciences,black,0,1,0,0,2,67,68
female,1,sophomore,2,arts_humanities,black,0,0,0,0,3.5,62,76
female,1,sophomore,2,social_sciences,black,0,0,0,1,2,62,62
female,1,senior,4,arts_humanities,brown,0,1,0,0,5,68,56
male,0,sophomore,2,economics,black,0,0,1,1,35,76,70
male,0,freshman,1,economics,black,0,0,0,1,5,70,68
male,0,sophomore,2,economics,brown,0,1,1,0,20,73,80
male,0,sophomore,2,economics,brown,0,1,0,0,12,76,66
female,1,senior,4,arts_humanities,brown,0,1,0,0,5,68,56
female,1,sophomore,2,economics,black,1,1,0,1,3,63,72
male,0,senior,4,natural_sciences,black,0,1,0,0,7,72,54
female,1,junior,3,natural_sciences,brown,0,1,0,0,5,63,75
female,1,freshman,1,social_sciences,brown,0,1,1,1,12,69,64
